dutch-sig-2017-inflection-attentive_lstm,dutch-sig-2017-inflection-attentive_lstm-sweep,4sx1o9ba
dutch-sig-2017-inflection-transformer,dutch-sig-2017-inflection-transformer-sweep,webnkynn
hungarian-sig-2017-inflection-attentive_lstm,hungarian-sig-2017-inflection-attentive_lstm-sweep,9s2g6n56
hungarian-sig-2017-inflection-transformer,hungarian-sig-2017-inflection-transformer-sweep,k9bhthrj
albanian-sig-2017-inflection-attentive_lstm,albanian-sig-2017-inflection-attentive_lstm-sweep,r98lf0lh
albanian-sig-2017-inflection-transformer,albanian-sig-2017-inflection-transformer-sweep,tga5csbe
arabic-sig-2017-inflection-attentive_lstm,arabic-sig-2017-inflection-attentive_lstm-sweep,2nvum3vr
arabic-sig-2017-inflection-transformer,arabic-sig-2017-inflection-transformer-sweep,n5rr4pjz
catalan-sig-2017-inflection-attentive_lstm,catalan-sig-2017-inflection-attentive_lstm-sweep,ash3qt3o
catalan-sig-2017-inflection-transformer,catalan-sig-2017-inflection-transformer-sweep,b3sniwpy
romanian-sig-2017-inflection-attentive_lstm,romanian-sig-2017-inflection-attentive_lstm-sweep,4yna0dme
romanian-sig-2017-inflection-transformer,romanian-sig-2017-inflection-transformer-sweep,1u212pv3
haida-sig-2017-inflection-attentive_lstm,haida-sig-2017-inflection-attentive_lstm-sweep,uxy33v9n
haida-sig-2017-inflection-transformer,haida-sig-2017-inflection-transformer-sweep,972nfftl
irish-sig-2017-inflection-attentive_lstm,irish-sig-2017-inflection-attentive_lstm-sweep,8cavqlmd
irish-sig-2017-inflection-transformer,irish-sig-2017-inflection-transformer-sweep,t5z4urum
arm_e-sig-2021-g2p-attentive_lstm,arm_e-sig-2021-g2p-attentive_lstm-sweep,e3hejkhy
arm_e-sig-2021-g2p-transformer,arm_e-sig-2021-g2p-transformer-sweep,ggpuzbal
dut-sig-2021-g2p-attentive_lstm,dut-sig-2021-g2p-attentive_lstm-sweep,d2hcrze6
dut-sig-2021-g2p-transformer,dut-sig-2021-g2p-transformer-sweep,abjpav1y
geo-sig-2021-g2p-attentive_lstm,geo-sig-2021-g2p-attentive_lstm-sweep,3fpdfbrl
geo-sig-2021-g2p-transformer,geo-sig-2021-g2p-transformer-sweep,n4roktcx
hun-sig-2021-g2p-attentive_lstm,hun-sig-2021-g2p-attentive_lstm-sweep,hn8s4qpp
hun-sig-2021-g2p-transformer,hun-sig-2021-g2p-transformer-sweep,3gajztgm